node_id,merged_id,first_absent,last_absent,first_persistent,last_persistent
5692549928996306944,0,0,0,0,220000000000
5692549928996306946,0,0,0,5000000000,0
5692549928996306948,0,0,0,0,220000000000
5692549928996306949,0,0,0,0,220000000000
5692549928996306950,0,0,0,5000000000,0
5692549928996306951,0,0,0,0,0
5692549928996306952,0,0,0,5000000000,220000000000
5692549928996306953,0,0,210000000000,0,35000000000
5692549928996306954,0,0,0,15000000000,210000000000
5692549928996306955,0,0,0,0,215000000000
5692549928996306956,0,0,0,0,215000000000
5692549928996306957,0,0,80000000000,0,75000000000
5692549928996306958,0,0,80000000000,0,75000000000
5692549928996306959,0,0,0,15000000000,220000000000
5692549928996306960,0,0,0,15000000000,210000000000
5692549928996306961,0,0,0,25000000000,215000000000
5692549928996306962,0,0,215000000000,25000000000,0
5692549928996306963,0,0,0,25000000000,210000000000
5692549928996306964,0,0,0,0,200000000000
5692549928996306965,0,0,0,0,200000000000
5692549928996306966,0,0,0,25000000000,210000000000
5692549928996306967,0,0,0,0,205000000000
5692549928996306968,0,0,0,0,0
5692549928996306969,0,0,0,0,205000000000
5692549928996306970,0,0,200000000000,0,0
5692549928996306971,0,0,0,0,0
5692549928996306972,0,0,0,40000000000,200000000000
5692549928996306973,0,0,0,0,200000000000
5692549928996306974,0,0,0,0,65000000000
5692549928996306975,0,0,0,0,0
5692549928996306976,0,0,0,40000000000,200000000000
5692549928996306977,0,0,0,45000000000,200000000000
5692549928996306978,0,0,60000000000,0,0
5692549928996306979,0,0,0,0,0
5692549928996306980,0,0,0,40000000000,200000000000
5692549928996306981,0,0,0,50000000000,60000000000
5692549928996306982,0,0,0,0,0
5692549928996306983,0,0,0,0,0
5692549928996306984,0,0,0,50000000000,0
5692549928996306985,0,0,0,0,0
5692549928996306986,0,0,0,0,200000000000
5692549928996306987,0,0,65000000000,0,0
5692549928996306988,0,0,65000000000,0,0
5692549928996306989,0,0,0,0,0
5692549928996306990,0,0,0,40000000000,200000000000
5692549928996306991,0,0,0,0,0
5692549928996306992,0,0,0,0,0
5692549928996306993,0,0,0,0,0
5692549928996306994,0,0,0,55000000000,0
5692549928996306995,0,0,0,50000000000,0
5692549928996306996,0,0,0,0,0
5692549928996306997,0,0,0,0,0
5692549928996306998,0,0,0,0,0
5692549928996306999,0,0,0,55000000000,0
5692549928996307000,0,0,0,55000000000,0
5692549928996307001,0,0,0,0,0
5692549928996307002,0,0,0,0,0
5692549928996307003,0,0,0,0,0
5692549928996307004,0,0,0,0,0
5692549928996307005,0,0,0,0,0
5692549928996307006,0,0,0,55000000000,0
5692549928996307007,0,0,0,0,0
5692549928996307008,0,0,0,0,0
5692549928996307009,0,0,0,0,0
5692549928996307010,0,0,0,0,0
5692549928996307011,0,0,0,0,0
5692549928996307012,0,0,0,25000000000,210000000000
5692549928996307013,0,0,0,0,0
5692549928996307014,0,0,0,0,210000000000
5692549928996307015,0,0,0,0,0
5692549928996307016,0,0,0,0,195000000000
5692549928996307017,0,0,0,0,0
5692549928996307018,0,0,0,30000000000,0
5692549928996307019,0,0,0,30000000000,0
5692549928996307020,0,0,0,0,215000000000
5692549928996307021,0,0,0,0,150000000000
5692549928996307022,0,0,0,0,150000000000
5692549928996307023,0,0,0,0,150000000000
5692549928996307024,0,0,0,0,140000000000
5692549928996307025,0,0,0,90000000000,140000000000
5692549928996307026,0,0,0,0,140000000000
5692549928996307027,0,0,0,0,135000000000
5692549928996307028,0,0,130000000000,0,0
5692549928996307029,0,0,135000000000,0,130000000000
5692549928996307030,0,0,125000000000,0,0
5692549928996307031,0,0,0,0,125000000000
5692549928996307032,0,0,0,0,125000000000
5692549928996307033,0,0,0,0,125000000000
5692549928996307034,0,0,0,0,125000000000
5692549928996307035,0,0,0,0,120000000000
5692549928996307036,0,0,115000000000,0,0
5692549928996307037,0,0,120000000000,0,0
5692549928996307038,0,0,125000000000,0,120000000000
5692549928996307039,0,0,120000000000,0,0
5692549928996307040,0,0,120000000000,0,0
5692549928996307041,0,0,120000000000,0,0
5692549928996307042,0,0,0,0,0
5692549928996307043,0,0,0,0,0
5692549928996307044,0,0,0,0,0
